"UYT","Metropolitan Statistical Area","2001","2002","2003","2004","2005","2006","2007"
"38060","Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",44349,44634,46070,46922,49289,50655,50656
"38220","Pine Bluff, AR (Metropolitan Statistical Area)",28146,28589,29546,30798,30953,31946,30937
"38300","Pittsburgh, PA (Metropolitan Statistical Area)",44195,44331,45623,45507,45164,45781,45744
"38340","Pittsfield, MA (Metropolitan Statistical Area)",41107,46270,46575,50530,52383,49978,42429
"38540","Pocatello, ID (Metropolitan Statistical Area)",27507,27376,29354,31053,31361,30715,31448
"38860","Portland-South Portland, ME (Metropolitan Statistical Area)",45759,46009,46914,49034,48773,49794,49493
"38900","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",43017,43090,44747,49458,50384,54853,56519
"38940","Port St. Lucie, FL (Metropolitan Statistical Area)",26696,28200,28670,30660,32329,32245,31340
"39140","Prescott, AZ (Metropolitan Statistical Area)",24146,24610,25432,25739,26542,26867,25914
"39300","Providence-Warwick, RI-MA (Metropolitan Statistical Area)",38607,39489,40907,41831,42304,43456,42613
"39340","Provo-Orem, UT (Metropolitan Statistical Area)",27207,27164,27772,29294,30627,31911,32526
"39380","Pueblo, CO (Metropolitan Statistical Area)",26828,26476,26964,28582,26721,26334,26252
"39460","Punta Gorda, FL (Metropolitan Statistical Area)",21256,21896,21974,22207,24300,24404,22214
"39540","Racine, WI (Metropolitan Statistical Area)",37714,37905,38664,40024,39508,38307,37264
"39580","Raleigh, NC (Metropolitan Statistical Area)",54409,50641,50421,51991,52709,53246,54554
"39660","Rapid City, SD (Metropolitan Statistical Area)",38755,42412,43156,42110,41926,40799,40025
"39740","Reading, PA (Metropolitan Statistical Area)",37970,38182,38286,37401,37595,38758,37564
"39820","Redding, CA (Metropolitan Statistical Area)",31566,34156,34878,33378,32106,31887,31470
"39900","Reno, NV (Metropolitan Statistical Area)",55758,54452,54341,56566,56459,56274,54254
"40060","Richmond, VA (Metropolitan Statistical Area)",54680,53336,53349,51967,54553,53975,53330
"40140","Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",27276,28227,29371,31069,32181,32074,30732
"40220","Roanoke, VA (Metropolitan Statistical Area)",42522,42993,43438,43246,44451,44546,44764
"40340","Rochester, MN (Metropolitan Statistical Area)",42869,45147,47777,47305,46648,46798,45329
"40380","Rochester, NY (Metropolitan Statistical Area)",43502,44707,45385,45831,46398,47059,45607
"40420","Rockford, IL (Metropolitan Statistical Area)",38893,38583,38727,38549,38712,39454,39224
"40580","Rocky Mount, NC (Metropolitan Statistical Area)",40311,41269,41127,40998,39733,40901,39190
"40660","Rome, GA (Metropolitan Statistical Area)",35434,35004,35569,38196,35869,35420,35334
"40900","Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",45879,46875,48957,49742,50977,50755,49489
"40980","Saginaw, MI (Metropolitan Statistical Area)",36052,36653,37739,36739,37168,37688,36275
"41060","St. Cloud, MN (Metropolitan Statistical Area)",39952,41117,41062,42686,42608,42241,40561
"41100","St. George, UT (Metropolitan Statistical Area)",26659,26614,27432,29752,30525,30714,30447
"41140","St. Joseph, MO-KS (Metropolitan Statistical Area)",31381,32111,32992,34923,34512,36529,37060
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)",47015,47112,48112,48533,48901,48292,48354
"41420","Salem, OR (Metropolitan Statistical Area)",31846,31759,31658,31822,32164,33589,32333
"41500","Salinas, CA (Metropolitan Statistical Area)",41206,42676,44706,41867,43371,45271,42705
"41540","Salisbury, MD-DE (Metropolitan Statistical Area)",35354,34914,36385,39058,40711,41876,41351
"41620","Salt Lake City, UT (Metropolitan Statistical Area)",51680,51177,51361,52721,54998,58065,60843
"41660","San Angelo, TX (Metropolitan Statistical Area)",35458,35693,35611,35398,36909,36852,37463
"41700","San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",38329,38095,38874,39384,39425,40722,40187
"41740","San Diego-Carlsbad, CA (Metropolitan Statistical Area)",50448,51876,54575,59239,62130,62003,61426
"41860","San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",70141,70153,70751,72537,76355,78850,81024
"41940","San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",73947,70217,72488,73708,77453,82680,89118
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)",37993,41507,43826,47288,45458,43120,43586
"42100","Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",42160,42330,42052,40806,40717,41181,39864
"42140","Santa Fe, NM (Metropolitan Statistical Area)",45603,51397,46342,45571,45892,48620,47862
"42200","Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",43166,44448,45674,47741,49233,49311,48920
"42220","Santa Rosa, CA (Metropolitan Statistical Area)",44828,46052,45323,45183,45976,46244,45463
"42340","Savannah, GA (Metropolitan Statistical Area)",37758,37664,38114,39984,41942,42994,41917
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)",34684,34789,35007,35337,35057,36155,35224
"42660","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",64438,64455,64720,64938,68051,70093,74216
"42680","Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",33876,33723,34752,34750,35106,34863,36147
"42700","Sebring, FL (Metropolitan Statistical Area)",17311,18557,19237,19898,20574,21533,20099
"43100","Sheboygan, WI (Metropolitan Statistical Area)",43577,45664,45903,47735,45437,45302,45739
"43300","Sherman-Denison, TX (Metropolitan Statistical Area)",25046,25058,25854,27702,27987,29448,29062
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)",42134,41078,40775,41471,42744,43334,42335
"43420","Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",26596,26989,28704,28196,29115,29111,29722
"43580","Sioux City, IA-NE-SD (Metropolitan Statistical Area)",42604,43411,43676,48203,49572,49557,49684
"43620","Sioux Falls, SD (Metropolitan Statistical Area)",49523,57414,57278,58403,58782,59946,61251
"43780","South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",35080,36376,37728,38671,38609,39275,39225
"43900","Spartanburg, SC (Metropolitan Statistical Area)",35944,37013,38468,38515,38918,40159,39974
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",34528,34546,35439,36120,37264,37754,38433
"44100","Springfield, IL (Metropolitan Statistical Area)",43492,44172,43706,43104,43692,43123,42772
"44140","Springfield, MA (Metropolitan Statistical Area)",35119,35031,35795,35984,36917,35932,36217
"44180","Springfield, MO (Metropolitan Statistical Area)",35813,36099,37621,38606,39753,41664,39446
"44220","Springfield, OH (Metropolitan Statistical Area)",28594,28057,27425,27983,28176,29230,27984
"44300","State College, PA (Metropolitan Statistical Area)",39087,38924,38982,39409,42377,40761,40326
"44420","Staunton-Waynesboro, VA (Metropolitan Statistical Area)",37034,34974,35060,36422,37077,36063,36575
"44700","Stockton-Lodi, CA (Metropolitan Statistical Area)",31722,32201,32980,33303,33408,33221,32005
"44940","Sumter, SC (Metropolitan Statistical Area)",28387,28782,29337,29787,30219,30842,30328
"45060","Syracuse, NY (Metropolitan Statistical Area)",39853,40823,40837,42008,42828,43231,43901
"45220","Tallahassee, FL (Metropolitan Statistical Area)",38731,38796,38959,39588,39073,38630,39541
"45300","Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",38326,39497,40468,41719,42934,43795,43827
"45460","Terre Haute, IN (Metropolitan Statistical Area)",31838,33046,34325,35501,34536,35295,36777
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)",29184,29852,30593,31991,32621,32719,32989
"45540","The Villages, FL (Metropolitan Statistical Area)",15864,16282,19003,18858,20712,21132,20588
"45780","Toledo, OH (Metropolitan Statistical Area)",42210,43321,43493,44101,44491,45421,44994
"45820","Topeka, KS (Metropolitan Statistical Area)",40085,40198,40189,42340,40230,38672,39903
"45940","Trenton, NJ (Metropolitan Statistical Area)",63948,66368,66518,66732,67958,69498,67992
"46060","Tucson, AZ (Metropolitan Statistical Area)",36198,35207,36728,35661,36164,36519,37632
"46140","Tulsa, OK (Metropolitan Statistical Area)",40746,40021,39253,43972,45985,49125,50637
"46220","Tuscaloosa, AL (Metropolitan Statistical Area)",32469,34352,35188,37710,39170,38321,39732
"46300","Twin Falls, ID (Metropolitan Statistical Area)",30014,30669,30831,31755,32204,33604,33503
"46340","Tyler, TX (Metropolitan Statistical Area)",42380,42292,41049,43014,44887,46254,46309
"46520","Urban Honolulu, HI (Metropolitan Statistical Area)",45003,45852,47894,50187,51591,53207,53938
"46540","Utica-Rome, NY (Metropolitan Statistical Area)",29421,29972,30261,30915,31772,32577,32350
"46660","Valdosta, GA (Metropolitan Statistical Area)",30226,30864,31855,31988,34057,33377,33691
"46700","Vallejo-Fairfield, CA (Metropolitan Statistical Area)",32457,33350,35154,35129,36273,35800,36015
"47020","Victoria, TX (Metropolitan Statistical Area)",36224,36628,35957,37224,40098,44950,44333
"47220","Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",32272,32578,33729,34687,35682,35657,34371
"47260","Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)",43763,43155,44510,45484,47323,49352,50244
"47300","Visalia-Porterville, CA (Metropolitan Statistical Area)",25214,25344,25779,27354,28886,28471,29260
"47380","Waco, TX (Metropolitan Statistical Area)",29942,30857,32461,34162,34836,35140,34957
"47460","Walla Walla, WA (Metropolitan Statistical Area)",33089,33084,34452,33284,34623,35592,36045
"47580","Warner Robins, GA (Metropolitan Statistical Area)",34798,35888,36098,35485,36803,36744,36235
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",66598,67422,69170,72028,73848,74470,74819
"47940","Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",37936,39878,39848,44892,46018,45666,47383
"48060","Watertown-Fort Drum, NY (Metropolitan Statistical Area)",40124,39637,39714,41329,43804,47578,46328
"48140","Wausau, WI (Metropolitan Statistical Area)",40863,42022,44479,45646,46722,46270,46509
"48260","Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",30133,31983,31249,30485,30881,28879,29563
"48300","Wenatchee, WA (Metropolitan Statistical Area)",31116,34725,32406,33432,32905,33564,33157
"48540","Wheeling, WV-OH (Metropolitan Statistical Area)",34976,35643,36754,37015,37901,38112,38680
"48620","Wichita, KS (Metropolitan Statistical Area)",43602,43003,42102,45462,43756,45920,47977
"48660","Wichita Falls, TX (Metropolitan Statistical Area)",34046,35064,34202,33325,34050,36528,37874
"48700","Williamsport, PA (Metropolitan Statistical Area)",31605,31241,32071,32375,33538,33889,32633
"48900","Wilmington, NC (Metropolitan Statistical Area)",40954,40966,40629,41188,43712,44343,43812
"49020","Winchester, VA-WV (Metropolitan Statistical Area)",39772,40293,40750,42214,43894,43221,40761
"49180","Winston-Salem, NC (Metropolitan Statistical Area)",44128,42295,43573,44947,43609,43227,40447
"49340","Worcester, MA-CT (Metropolitan Statistical Area)",36541,36960,38408,37866,37770,37853,37577
"49420","Yakima, WA (Metropolitan Statistical Area)",27715,28919,29691,29627,30424,30665,30573
"49620","York-Hanover, PA (Metropolitan Statistical Area)",36451,36491,37676,39159,41347,39303,39793
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",32994,33905,34547,34941,34267,35033,33779
"49700","Yuba City, CA (Metropolitan Statistical Area)",27440,28938,29147,28707,27794,27529,26724
"49740","Yuma, AZ (Metropolitan Statistical Area)",26024,27931,28103,29923,29806,30102,29271
