NAME,LSAD,CENSUSPOP2000,CENSUSPOP2010,NPOPCHG_2010,PPOPCHG_2010
,,,,,
Metropolitan Statistical Areas,,,,,
"Sikeston, MO",Micropolitan Statistical Area,40422,39191,-1231,-3.045371332
"Silver City, NM",Micropolitan Statistical Area,31002,29514,-1488,-4.799690343
"Silverthorne, CO",Micropolitan Statistical Area,23548,27994,4446,18.88058434
"Snyder, TX",Micropolitan Statistical Area,16361,16921,560,3.422773669
"Somerset, KY",Micropolitan Statistical Area,56217,63063,6846,12.17781098
"Somerset, PA",Micropolitan Statistical Area,80023,77742,-2281,-2.850430501
"Southern Pines-Pinehurst, NC",Micropolitan Statistical Area,74769,88247,13478,18.02618732
"Spearfish, SD",Micropolitan Statistical Area,21802,24097,2295,10.5265572
"Spencer, IA",Micropolitan Statistical Area,17372,16667,-705,-4.058254663
"Spirit Lake, IA",Micropolitan Statistical Area,16424,16667,243,1.479542133
"Starkville, MS",Micropolitan Statistical Area,42902,47671,4769,11.11603189
"Statesboro, GA",Micropolitan Statistical Area,55983,70217,14234,25.42557562
"Statesville-Mooresville, NC",Micropolitan Statistical Area,122660,159437,36777,29.9828795
"Staunton-Waynesboro, VA",Micropolitan Statistical Area,108988,118502,9514,8.729401402
"Stephenville, TX",Micropolitan Statistical Area,33001,37890,4889,14.81470258
"Sterling, CO",Micropolitan Statistical Area,20504,22709,2205,10.75399922
"Sterling, IL",Micropolitan Statistical Area,60653,58498,-2155,-3.552998203
"Stevens Point, WI",Micropolitan Statistical Area,67182,70019,2837,4.222857313
"Stillwater, OK",Micropolitan Statistical Area,68190,77350,9160,13.4330547
"Storm Lake, IA",Micropolitan Statistical Area,20411,20260,-151,-0.739797168
"Sturgis, MI",Micropolitan Statistical Area,62422,61295,-1127,-1.805453206
"Sulphur Springs, TX",Micropolitan Statistical Area,31960,35161,3201,10.01564456
"Summerville, GA",Micropolitan Statistical Area,25470,26015,545,2.139772281
"Sunbury, PA",Micropolitan Statistical Area,94556,94528,-28,-0.029612082
"Susanville, CA",Micropolitan Statistical Area,33828,34895,1067,3.154191794
"Sweetwater, TX",Micropolitan Statistical Area,15802,15216,-586,-3.708391343
"Tahlequah, OK",Micropolitan Statistical Area,42521,46987,4466,10.50304555
"Talladega-Sylacauga, AL",Micropolitan Statistical Area,80321,82291,1970,2.452658707
"Tallulah, LA",Micropolitan Statistical Area,13728,12093,-1635,-11.90996503
"Taos, NM",Micropolitan Statistical Area,29979,32937,2958,9.866906835
"Taylorville, IL",Micropolitan Statistical Area,35372,34800,-572,-1.61709827
"The Dalles, OR",Micropolitan Statistical Area,23791,25213,1422,5.977050145
"The Villages, FL",Micropolitan Statistical Area,53345,93420,40075,75.12419158
"Thomaston, GA",Micropolitan Statistical Area,27597,27153,-444,-1.608870529
"Thomasville, GA",Micropolitan Statistical Area,42737,44720,1983,4.640007488
"Thomasville-Lexington, NC",Micropolitan Statistical Area,147246,162878,15632,10.61624764
"Tiffin, OH",Micropolitan Statistical Area,58683,56745,-1938,-3.302489648
"Tifton, GA",Micropolitan Statistical Area,38407,40118,1711,4.454917072
"Toccoa, GA",Micropolitan Statistical Area,25435,26175,740,2.909376843
"Torrington, CT",Micropolitan Statistical Area,182193,189927,7734,4.244949038
"Traverse City, MI",Micropolitan Statistical Area,131342,143372,12030,9.159294057
"Troy, AL",Micropolitan Statistical Area,29605,32899,3294,11.1264989
"Truckee-Grass Valley, CA",Micropolitan Statistical Area,92033,98764,6731,7.313680962
"Tullahoma, TN",Micropolitan Statistical Area,93024,100210,7186,7.724888201
"Tupelo, MS",Micropolitan Statistical Area,125251,136268,11017,8.795937757
"Tuskegee, AL",Micropolitan Statistical Area,24105,21452,-2653,-11.00601535
"Twin Falls, ID",Micropolitan Statistical Area,82626,99604,16978,20.54801152
"Ukiah, CA",Micropolitan Statistical Area,86265,87841,1576,1.82692865
"Union, SC",Micropolitan Statistical Area,29881,28961,-920,-3.078879556
"Union City, TN-KY",Micropolitan Statistical Area,40202,38620,-1582,-3.935127606
"Urbana, OH",Micropolitan Statistical Area,38890,40097,1207,3.103625611
"Uvalde, TX",Micropolitan Statistical Area,25926,26405,479,1.84756615
"Valley, AL",Micropolitan Statistical Area,36583,34215,-2368,-6.472951918
"Van Wert, OH",Micropolitan Statistical Area,29659,28744,-915,-3.085066927
"Vermillion, SD",Micropolitan Statistical Area,13537,13864,327,2.415601684
"Vernal, UT",Micropolitan Statistical Area,25224,32588,7364,29.19441801
"Vernon, TX",Micropolitan Statistical Area,14676,13535,-1141,-7.774597983
"Vicksburg, MS",Micropolitan Statistical Area,49644,48773,-871,-1.754491983
"Vidalia, GA",Micropolitan Statistical Area,34337,36346,2009,5.850831465
"Vincennes, IN",Micropolitan Statistical Area,39256,38440,-816,-2.078663134
"Wabash, IN",Micropolitan Statistical Area,34960,32888,-2072,-5.926773455
"Wahpeton, ND-MN",Micropolitan Statistical Area,25136,22897,-2239,-8.907542966
"Walla Walla, WA",Micropolitan Statistical Area,55180,58781,3601,6.525915187
"Walterboro, SC",Micropolitan Statistical Area,38264,38892,628,1.641229354
"Wapakoneta, OH",Micropolitan Statistical Area,46611,45949,-662,-1.420265603
"Warren, PA",Micropolitan Statistical Area,43863,41815,-2048,-4.669083282
"Warrensburg, MO",Micropolitan Statistical Area,48258,52595,4337,8.987110945
"Warsaw, IN",Micropolitan Statistical Area,74057,77358,3301,4.457377425
"Washington, IN",Micropolitan Statistical Area,29820,31648,1828,6.130114017
"Washington, NC",Micropolitan Statistical Area,44958,47759,2801,6.230259353
"Washington Court House, OH",Micropolitan Statistical Area,28433,29030,597,2.099672915
"Watertown, SD",Micropolitan Statistical Area,31437,33130,1693,5.385373922
"Watertown-Fort Atkinson, WI",Micropolitan Statistical Area,74021,83686,9665,13.05710542
"Watertown-Fort Drum, NY",Micropolitan Statistical Area,111738,116229,4491,4.019223541
"Wauchula, FL",Micropolitan Statistical Area,26938,27731,793,2.943796867
"Waycross, GA",Micropolitan Statistical Area,51119,55070,3951,7.729024433
"Weatherford, OK",Micropolitan Statistical Area,26142,27469,1327,5.076122714
"West Plains, MO",Micropolitan Statistical Area,37238,40400,3162,8.491326065
"West Point, MS",Micropolitan Statistical Area,21979,20634,-1345,-6.119477683
"Whitewater, WI",Micropolitan Statistical Area,93759,102228,8469,9.032732858
"Willimantic, CT",Micropolitan Statistical Area,109091,118428,9337,8.558909534
"Williston, ND",Micropolitan Statistical Area,19761,22398,2637,13.34446637
"Willmar, MN",Micropolitan Statistical Area,41203,42239,1036,2.514380021
"Wilmington, OH",Micropolitan Statistical Area,40543,42040,1497,3.692375996
"Wilson, NC",Micropolitan Statistical Area,73814,81234,7420,10.0522936
"Winfield, KS",Micropolitan Statistical Area,36291,36311,20,0.055110082
"Winona, MN",Micropolitan Statistical Area,49985,51461,1476,2.952885866
"Woodward, OK",Micropolitan Statistical Area,18486,20081,1595,8.628151033
"Wooster, OH",Micropolitan Statistical Area,111564,114520,2956,2.649600229
"Worthington, MN",Micropolitan Statistical Area,20832,21378,546,2.620967742
"Yankton, SD",Micropolitan Statistical Area,21652,22438,786,3.63014964
"Yazoo City, MS",Micropolitan Statistical Area,28149,28065,-84,-0.298412022
"Zanesville, OH",Micropolitan Statistical Area,84585,86074,1489,1.760359402
,,,,, 
,,,,, 
PUERTO RICO,,,,, 
Metropolitan Statistical Areas,,,,, 
"Aguadilla-Isabela-San Sebastián, PR",Metropolitan Statistical Area,312602,306292,-6310,-2.018541148
"Fajardo, PR",Metropolitan Statistical Area,78533,70692,-7841,-9.984337794
"Guayama, PR",Metropolitan Statistical Area,83570,84214,644,0.770611463
"Mayagüez, PR",Metropolitan Statistical Area,115048,106330,-8718,-7.577706696
"Ponce, PR",Metropolitan Statistical Area,264919,243147,-21772,-8.218361084
"San Germán-Cabo Rojo, PR",Metropolitan Statistical Area,136212,137462,1250,0.917687135
"San Juan-Caguas-Guaynabo, PR",Metropolitan Statistical Area,2509007,2478905,-30102,-1.199757514
"Yauco, PR",Metropolitan Statistical Area,118063,107333,-10730,-9.088368075
,,,,, 
Micropolitan Statistical Areas,,,,, 
"Adjuntas, PR",Micropolitan Statistical Area,19143,19483,340,1.776106148
"Coamo, PR",Micropolitan Statistical Area,68710,71590,2880,4.191529617
"Jayuya, PR",Micropolitan Statistical Area,17318,16642,-676,-3.903453055
"Santa Isabel, PR",Micropolitan Statistical Area,21665,23274,1609,7.426725133
"Utuado, PR",Micropolitan Statistical Area,35336,33149,-2187,-6.189155535
