,,MSA,County,
3080,,"Green Bay, WI",Brown County,
3120,,"Greensboro/Winston-Salem/High Point, NC",Alamance County,Guilford County
,,,Davidson County,Randolph County
,,,Davie County,Stokes County
,,,Forsyth County,Yadkin County
3150,,"Greenville, NC",Pitt County,
3160,,"Greenville/Spartanburg/Anderson, SC",Anderson County,Pickens County
,,,Cherokee County,Spartanburg County
,,,Greenville County,
3180,8872,"Hagerstown, MD",Washington County,
3200,1642,"Hamilton/Middletown, OH",Butler County,
3240,,"Harrisburg/Lebanon/Carlisle, PA",Cumberland County,Lebanon County
,,,Dauphin County,Perry County
3280,,"Hartford, CT",Hartford County,New London County
,,,Litchfield County,Tolland County
,,,Middlesex County,Windham County
3285,,"Hattiesburg, MS",Forrest County,
,,,Lamar County,
3290,,"Hickory/Morganton/Lenoir, NC",Alexander County,Caldwell County
,,,Burke County,Catawba County
3320,,"Honolulu, HI",Honolulu County,
3350,,"Houma, LA",Lafourche Parish,
,,,Terrebonne Parish,
3360,3362,"Houston, TX",Chambers County,Liberty County
,,,Fort Bend County,Montgomery County
,,,Harris County,Waller County
3400,,"Huntington/Ashland, WV/KY/OH","Boyd County, KY","Lawrence County, OH"
,,,"Carter County, KY","Cabell County, WV"
,,,"Greenup County, KY","Wayne County, WV"
3440,,"Huntsville, AL",Limestone County,
,,,Madison County,
3480,,"Indianapolis, IN",Boone County,Madison County
,,,Hamilton County,Marion County
,,,Hancock County,Morgan County
,,,Hendricks County,Shelby County
,,,Johnson County,
3500,,"Iowa City, IA",Johnson County,
3520,,"Jackson, MI",Jackson County,
3560,,"Jackson, MS",Hinds County,
,,,Madison County,
,,,Rankin County,
3580,,"Jackson, TN",Chester County,
,,,Madison County,
3600,,"Jacksonville, FL",Clay County,Nassau County
,,,Duval County,St. Johns County
3605,,"Jacksonville, NC",Onslow County,
3610,,"Jamestown, NY",Chautauqua County,
3620,,"Janesville/Beloit, WI",Rock County,
3640,5602,"Jersey City, NJ",Hudson County,
3660,,"Johnson City/Kingsport/Bristol, TN/VA",TN:,VA:
,,,Carter County,Scott County
,,,Hawkins County,Washington County
,,,Sullivan County,Bristol city
,,,Unicoi County,
,,,Washington County,
3680,,"Johnstown, PA",Cambria County,
,,,Somerset County,
3700,,"Jonesboro, AR",Craighead County,
3710,,"Joplin, MO",Jasper County,
,,,Newton County,
3720,,"Kalamazoo/Battle Creek, MI",Calhoun County,
,,,Kalamazoo County,
,,,Van Buren County,
3740,1602,"Kankakee, IL",Kankakee County County,
3760,,"Kansas City, MO/KS",KS:,MO:
,,,Johnson County,Cass County
,,,Leavenworth County,Clay County
,,,Miami County,Clinton County
,,,Wyandotte County,Jackson County
,,,,Lafayette County
,,,,Platte County
,,,,Ray County
3800,1602,"Kenosha, WI",Kenosha County,
3810,,"Killeen/Temple, TX",Bell County,
,,,Coryell County,
3840,,"Knoxville, TN",Anderson County,Loudon County
,,,Blount County,Sevier County
,,,Knox County,Union County
3850,,"Kokomo, IN",Howard County,
,,,Tipton County,
3870,,"La Crosse, WI/MN","Houston County, MN",
,,,"La Crosse County, WI",
3880,,"Lafayette, LA",Acadia Parish,St. Landry Parish
,,,Lafayette Parish,St. Martin Parish
3920,,"Lafayette, IN",Clinton County,
,,,Tippecanoe County,
3960,,"Lake Charles, LA",Calcasieu Parish,
3980,,"Lakeland/Winter Haven, FL",Polk County,
4000,,"Lancaster, PA",Lancaster County,
